Year,Nodes,Edges,WeakComponents_All,WeakComponents_Nontrivial,LargestWeakComponent_Nontrivial,ShareLargestWeakComponent_Nontrivial
1994,1,0,1,0,0,0.0
1995,1,0,1,0,0,0.0
1996,1,0,1,0,0,0.0
1997,1,0,1,0,0,0.0
1998,1,0,1,0,0,0.0
1999,1,0,1,0,0,0.0
2000,1,0,1,0,0,0.0
2001,2,0,2,0,0,0.0
2002,2,0,2,0,0,0.0
2003,2,0,2,0,0,0.0
2004,4,0,4,0,0,0.0
2005,5,0,5,0,0,0.0
2006,11,2,9,1,3,0.2727272727272727
2007,21,4,17,2,4,0.19047619047619047
2008,32,6,26,3,5,0.15625
2009,51,28,31,5,16,0.3137254901960784
2010,71,52,38,6,27,0.38028169014084506
2011,79,63,39,7,33,0.4177215189873418
2012,85,72,41,6,38,0.4470588235294118
2013,93,77,48,6,39,0.41935483870967744
2014,94,77,49,6,39,0.4148936170212766
2015,99,77,54,6,39,0.3939393939393939
2016,105,80,58,7,40,0.38095238095238093
2017,107,81,59,7,41,0.38317757009345793
2018,111,82,62,8,41,0.36936936936936937
2019,112,96,58,8,46,0.4107142857142857
2020,118,104,58,6,55,0.4661016949152542
2021,126,115,57,8,59,0.46825396825396826
2022,135,135,59,8,69,0.5111111111111111
2023,137,137,60,8,70,0.5109489051094891
2024,138,137,61,8,70,0.5072463768115942
