Year,UnifiedDegreeCentralisation_AUS,UnifiedDegreeCentralisation_UK
1994,0.0,
1995,0.0,0.0
1996,0.0,0.0
1997,0.0,0.0
1998,0.0,0.0
1999,0.0,0.0
2000,0.0,0.0
2001,0.0,0.0
2002,0.0,0.0
2003,0.0,0.0
2004,0.0,0.0
2005,0.0,0.0
2006,0.18,0.0
2007,0.1375,0.0
2008,0.12070759625390219,0.0
2009,0.1,0.05859375
2010,0.0946938775510204,0.09418282548476455
2011,0.0831689677843524,0.12098298676748583
2012,0.08801020408163265,0.09512485136741974
2013,0.08069470699432892,0.08
2014,0.08000924962423402,0.070625
2015,0.07673885880882965,0.05907372400756144
2016,0.07257766272189349,0.057944771389769126
2017,0.07128871484514061,0.05685763888888889
2018,0.06900826446280992,0.0530565167243368
2019,0.11167924681438195,0.06479338842975206
2020,0.11410621667031924,0.11609782316581564
2021,0.122368,0.13448979591836735
2022,0.1278124303853865,0.14428799535491363
2023,0.12591911764705882,0.17867555185339443
2024,0.12509989876924715,0.19868517165814464
