Source,Target,Type,Weight,Year
10,1,Directed,1,2006
10,9,Directed,1,2006
103,95,Directed,1,2016
104,29,Directed,1,2016
104,9,Directed,1,2016
107,104,Directed,1,2017
108,109,Directed,1,2018
112,10,Directed,1,2019
112,101,Directed,1,2019
112,15,Directed,1,2019
112,18,Directed,1,2019
112,27,Directed,1,2019
112,29,Directed,1,2019
112,30,Directed,1,2019
112,33,Directed,1,2019
112,37,Directed,1,2019
112,38,Directed,1,2019
112,4,Directed,1,2019
112,74,Directed,1,2019
112,86,Directed,1,2019
112,91,Directed,1,2019
115,116,Directed,1,2020
116,104,Directed,1,2020
116,108,Directed,1,2020
116,109,Directed,1,2020
116,61,Directed,1,2020
118,112,Directed,1,2020
118,117,Directed,1,2020
118,29,Directed,1,2020
119,112,Directed,1,2021
12,11,Directed,1,2007
120,113,Directed,1,2021
120,20,Directed,1,2021
121,122,Directed,1,2021
122,24,Directed,1,2021
123,122,Directed,1,2021
124,118,Directed,1,2021
125,112,Directed,1,2021
125,124,Directed,1,2021
125,18,Directed,1,2021
126,125,Directed,1,2021
127,10,Directed,1,2022
127,101,Directed,1,2022
127,112,Directed,1,2022
127,113,Directed,1,2022
127,122,Directed,1,2022
127,124,Directed,1,2022
127,128,Directed,1,2022
127,20,Directed,1,2022
127,86,Directed,1,2022
127,9,Directed,1,2022
128,107,Directed,1,2022
128,122,Directed,1,2022
128,123,Directed,1,2022
128,24,Directed,1,2022
13,10,Directed,1,2007
130,129,Directed,1,2022
132,112,Directed,1,2022
132,118,Directed,1,2022
132,125,Directed,1,2022
132,13,Directed,1,2022
135,134,Directed,1,2022
136,122,Directed,1,2023
136,128,Directed,1,2023
27,30,Directed,1,2008
29,10,Directed,1,2008
33,10,Directed,1,2009
33,12,Directed,1,2009
33,27,Directed,1,2009
33,29,Directed,1,2009
33,30,Directed,1,2009
34,27,Directed,1,2009
34,37,Directed,1,2009
36,35,Directed,1,2009
37,27,Directed,1,2009
38,27,Directed,1,2009
38,34,Directed,1,2009
38,37,Directed,1,2009
41,18,Directed,1,2009
44,31,Directed,1,2009
47,37,Directed,1,2009
47,48,Directed,1,2009
47,49,Directed,1,2009
48,37,Directed,1,2009
49,37,Directed,1,2009
49,48,Directed,1,2009
50,16,Directed,1,2009
50,21,Directed,1,2009
54,27,Directed,1,2010
54,37,Directed,1,2010
54,38,Directed,1,2010
54,48,Directed,1,2010
55,27,Directed,1,2010
55,63,Directed,1,2010
56,48,Directed,1,2010
58,10,Directed,1,2010
58,29,Directed,1,2010
58,33,Directed,1,2010
60,65,Directed,1,2010
61,31,Directed,1,2010
61,44,Directed,1,2010
62,68,Directed,1,2010
63,27,Directed,1,2010
66,37,Directed,1,2010
66,38,Directed,1,2010
66,48,Directed,1,2010
66,49,Directed,1,2010
69,63,Directed,1,2010
70,38,Directed,1,2010
70,63,Directed,1,2010
71,49,Directed,1,2010
71,68,Directed,1,2010
72,13,Directed,1,2011
72,29,Directed,1,2011
72,33,Directed,1,2011
74,10,Directed,1,2011
74,29,Directed,1,2011
74,33,Directed,1,2011
74,75,Directed,1,2011
75,42,Directed,1,2011
76,63,Directed,1,2011
77,29,Directed,1,2011
78,59,Directed,1,2011
81,10,Directed,1,2012
81,18,Directed,1,2012
82,10,Directed,1,2012
82,13,Directed,1,2012
82,29,Directed,1,2012
82,42,Directed,1,2012
82,58,Directed,1,2012
82,72,Directed,1,2012
83,74,Directed,1,2012
86,13,Directed,1,2013
86,29,Directed,1,2013
86,42,Directed,1,2013
86,74,Directed,1,2013
86,75,Directed,1,2013
