Id,Label,Year
1,Greenpeace Australia Ltd v Redbank Power Co,1994
2,Thackeray v Shire of South Gippsland,2001
3,Phosphate Resources Ltd v The Commonwealth,2004
4,Re Australian Conservation Foundation v Latrobe City Council,2004
5,Terminals Pty Ltd v Greater Geelong City Council,2005
6,Anvil Hill Project Watch Association v Minister for the Environment and Water Resources,2006
7,Gray v Minister for Planning,2006
8,Thornton v Adelaide Hills Council,2006
9,Wildlife Preservation Society of Queensland Proserpine/Whitsundry Branch Inc v Minister for the Environment and Heritage,2006
10,Gray v Minister for Planning and Ors,2006
11,Charles & Howard Pty Ltd v Redland Shire Council,2006
12,Charles and Howard Pty Ltd v Redland Shire Council,2007
13,Drake-Brockman v Minister for Planning,2007
14,McCulloch v Bass Coast Shire Council,2007
15,Northcape Properties v District Council of Yorke Peninsula,2007
16,Perry v Hepburn Shire Council,2007
17,Queensland Conservation Council Inc v Xstrata Coal,2007
18,Taralga Landscape Guardians Inc v Minister for Planning,2007
19,Re Xstrata Coal Queensland Pty Ltd; Queensland Conservation Council Inc v Xstrata Coal Queensland Pty Ltd,2007
20,Queensland Conservation Council Inc v Xstrata Coal Queensland P/L & Ors,2007
21,Synergy Wind Pty Ltd v Wellington Shire Council,2007
22,Turramurra Pty Ltd v Ku-ring-gai Council,2008
23,Australian Competition and Consumer Commission v GM Holden Ltd,2008
24,"Blue Wedges Inc v Minister for Environment, Heritage and the Arts",2008
25,David Kettle Consulting v Gosford City Council,2008
26,Director of Public Prosecutions v Fraser and O'Donnell,2008
27,Gippsland Coastal Board v South Gippsland Shire Council,2008
28,Ground Crew at Turramurra v Ku-ring-gai Council,2008
29,Minister for Planning v Walker,2008
30,Northcape Properties v District Council of Yorke Peninsula,2008
31,Spencer v Commonwealth,2008
32,"Your Water Your Say Inc v Minister for the Environment, Heritage and the Arts",2008
33,Aldous v Greater Taree City Council and Another,2009
34,Bernhard Seifert v Colac-Otway Shire Council,2009
35,Byron Shire Council v Vaughan,2009
36,Vaughan v Byron Shire Council,2009
37,Myers v South Gippsland Shire Council,2009
38,Myers v South Gippsland Shire Council,2009
39,Owen v Casey City Council,2009
40,Pepperwood Ridge Pty Ltd v Newcastle City Council,2009
41,RES Southern Cross v Minister for Planning,2009
42,Rivers SOS Inc v Minister of Planning,2009
43,S J Connelly v Byron Shire Council,2009
44,Spencer v Commonwealth,2009
45,Tauschke v East Gippsland Shire Council,2009
46,W & B Cabinets v Casey City Council,2009
47,Wade v Warrnambool CC and Anor,2009
48,Ronchi v Wellington Shire Council,2009
49,Owen v Casey City Council,2009
50,Russell and Ors v Surf Coast Shire Council and Anor,2009
51,Re 0907346,2009
52,Able Lott Holdings Pty Ltd v City of Fremantle,2010
53,Australian Competition and Consumer Commission v Global Green Plan Ltd,2010
54,Bock v Moyne Shire Council,2010
55,Campbell and Others v Mornington Peninsula Shire Council,2010
56,Edmond Golf Pty Ltd v Frankston City Council,2010
57,Kala Developments Pty Ltd v Surf Coast Shire Council,2010
58,Kennedy (on behalf of Sandon Point Aboriginal Tent Embassy) v Minister for Planning,2010
59,	Gray and Anor v Macquarie Generation,2010
60,Paul v Goulburn Murray Water Corporation and Others,2010
61,Spencer v Commonwealth,2010
62,Suburban Blue Print Pty Ltd v Hobsons Bay City Council,2010
63,Taip v East Gippsland Shire Council,2010
64,West Gippsland Catchment Management Authority v East Gippsland Shire Council,2010
65,Alanvale Pty Ltd v Southern Rural Water Authority,2010
66,Cooke v Greater Geelong City Council,2010
67,Printz Pty Ltd v Glenelg Shire Council,2010
68,Cadzow Enterprises Pty Ltd v Port Phillip County Council,2010
69,D'Abate v East Gippsland Shire Council & Ors,2010
70,Fetterplace v Mornington Peninsula Shire Council,2010
71,Restall v Hobsons Bay City Council,2010
72,Haughton v Minister for Department of Planning and Others,2011
73,Carey v Murrindindi Shire Council,2011
74,Hunter Environment Lobby Inc v Minister for Planning,2011
75,Ironstone Community Action Group Inc v NSW Minister for Planning and Duralie Coal Pty Ltd,2011
76,Kala Developments Pty Ltd v Surf Coast Shire Council,2011
77,Lester v Minister for Planning and Infrastructure,2011
78,Macquarie Generation v Hodgson,2011
79,Millar v Department of Premier and Cabinet (General),2011
80,Copley v Logan City Council and Anor,2012
81,Dual Gas Pty Ltd and Others v Environment Protection Authority,2012
82,Hunter Community Environment Centre Inc v Minister for Planning and Delta Electricity,2012
83,Hunter Environment Lobby Inc v Minister for Planning (No 2),2012
84,Ison v Richmond Valley Council,2012
85,Xstrata Coal Queensland Pty Ltd v Friends of the Earth - Brisbane ,2012
86,Bulga Milbrodale Progress Association Inc v Minister for Planning and Infrastructure and Warkworth Mining Limited,2013
87,Clean Energy Regulator v MT Solar Pty Ltd,2013
88,Environment Victoria Inc v Department of Primary Industries,2013
89,Newton and Anor v Great Lakes Council,2013
90,Nucifora v Valuer-General,2013
91,Rainbow Shores P/L v Gympie Regional Council and Others,2013
92,Smith v Pittwater Council,2013
93,Cherry Tree Wind Farm Pty Ltd v Mitchell Shire Council,2013
94,Stewart v Moyne Shire Council,2014
95,Australasian Centre for Corporate Responsibility v Commonwealth Bank of Australia,2015
96,Dunford v Gosford City Council,2015
97,Gibson v Bass Coast Shire Council,2015
98,Johnston v Bass Coast Shire Council,2015
99,Lark v Shellharbour City Council,2015
100,Ralph Lauren 57 v Byron Shire Council,2016
101,Coast and Country Association of Queensland Inc v Smith,2016
102,Fetherston v Wollongong City Council,2016
103,Australasian Centre for Corporate Responsibility v Commonwealth Bank of Australia,2016
104,Australian Conservation Foundation Incorporated v Minister for the Environment ,2016
105,Dougherty Bros Pty Ltd v Outline Planning Consultants Pty Ltd,2016
106,Pridel Investments Pty Ltd v Coffs Harbour City Council,2017
107,Australian Conservation Foundation Incorporated v Minister for the Environment and Energy,2017
108,Friends of Leadbeater's Possum Inc v VicForests (No 3),2018
109,Friends of LeadbeaterÂ’s Possum Inc v VicForests,2018
110,Henroth Investments Pty Ltd v Sydney North Planning Panel,2018
111,Joe Davidson Town Planning v Byron Shire Council,2018
112,Gloucester Resources Limited v Minister for Planning,2019
113,Waratah Coal Pty Ltd v Youth Verdict Ltd & Ors,2020
114,EH v Queensland Police Service; GS v Queensland Police Service,2020
115,Friends of Leadbeater's Possum Inc v VicForests (No 6) ,2020
116,Friends of Leadbeater’s Possum Inc v VicForests (No 4) ,2020
117,KEPCO Bylong Australia Pty Ltd v Independent Planning Commission,2020
118,KEPCO Bylong Australia Pty Ltd v Independent Planning Commission (No 2),2020
119,Bushfire Survivors for Climate Action Incorporated v Environmental Protection Authority,2021
120,Waratah Coal Pty Ltd v Youth Verdict Ltd & Ors (No 2),2021
121,O’Donnell v Commonwealth of Australia,2021
122,Sharma by her litigation representative Sister Marie Brigid Arthur v Minister for the Environment,2021
123,Sharma by her litigation representative Sister Marie Brigid Arthur v Minister for the Environment (No 2),2021
124,KEPCO Bylong Australia Pty Ltd v Bylong Valley Protection Alliance Inc,2021
125,Mullaley Gas and Pipeline Accord Inc v Santos NSW (Eastern) Pty Ltd,2021
126,Mullaley Gas and Pipeline Accord Inc v Santos NSW (Eastern) Pty Ltd,2021
127,Waratah Coal Pty Ltd v Youth Verdict Ltd & Ors (No 6),2022
128,Minister for the Environment v Sharma,2022
129,"Conservation Council of Western Australia v Chairman, Environmental Protection Authority",2022
130,"Conservation Council of Western Australia v Chairman, Environmental Protection Authority",2022
131,Environment Victoria Inc vs AGL Loy Yang Pty Ltd,2022
132,"Nature Conservation Council of NSW Inc v Minister for Water, Property and Housing",2022
133,In the matter of AGL Limited,2022
134,Tipakalippa v National Offshore Petroleum Safety and Environmental Management Authority (No 2),2022
135,Santos NA Barossa Pty Ltd v Tipakalippa,2022
136,O'Donnell v Commonwealth of Australia,2023
137,Vanderstock v Victoria,2023
138,"Australian Securities and Investments Commission v Vanguard
Investments Australia Ltd",2024
