Year,Nodes,Edges,WeakComponents_All,WeakComponents_Nontrivial,LargestWeakComponent_Nontrivial,ShareLargestWeakComponent_Nontrivial
1995,3,0,3,0,0,0.0
1996,3,0,3,0,0,0.0
1997,3,0,3,0,0,0.0
1998,3,0,3,0,0,0.0
1999,3,0,3,0,0,0.0
2000,4,0,4,0,0,0.0
2001,5,0,5,0,0,0.0
2002,6,0,6,0,0,0.0
2003,6,0,6,0,0,0.0
2004,6,0,6,0,0,0.0
2005,7,0,7,0,0,0.0
2006,9,0,9,0,0,0.0
2007,13,0,13,0,0,0.0
2008,14,0,14,0,0,0.0
2009,17,1,16,1,2,0.11764705882352941
2010,20,3,17,1,4,0.2
2011,24,4,20,1,5,0.20833333333333334
2012,30,5,25,2,5,0.16666666666666666
2013,36,5,31,2,5,0.1388888888888889
2014,41,5,36,2,5,0.12195121951219512
2015,47,8,39,4,5,0.10638297872340426
2016,48,8,40,4,5,0.10416666666666667
2017,49,8,41,4,5,0.10204081632653061
2018,52,9,43,5,5,0.09615384615384616
2019,56,14,43,5,7,0.125
2020,62,32,41,4,19,0.3064516129032258
2021,71,61,43,4,26,0.36619718309859156
2022,84,91,47,4,34,0.40476190476190477
2023,99,132,47,5,44,0.4444444444444444
2024,112,176,49,5,55,0.49107142857142855
