Id,Label,Year
1,City of Bradford Metropolitan Council v Woodhead and Sons Ltd,1995
2,City of Bradford Metropolitan Council v Gillson and Sons,1995
3,City of Bradford Metropolitan Council v Feather,1995
4,Allerdale BC v Cumbria Wind Farms Ltd,2000
5,Wigan Metropolitan Borough Council v Secretary of State for the Environment Transport and Regions,2001
6,Goldfinch (Projects) Limited v National Assembly for Wales,2002
7,R (on application of Rockware Glass Ltd) v Chester City Council,2005
8,"Cemex UK Cement Ltd v Department for the Environment, Food and Rural Affairs",2006
9,Laughton Wind Farm Ltd v West Lindsey DC,2006
10,Bradford v West Devon Borough Council,2007
11,Greenpeace v Secretary of State for Trade and Industry,2007
12,Heathrow Airport Ltd and Another v Garman and Others,2007
13,Yelland Wind Farm Ltd v West Devon BC,2007
15,R (on the application of Littlewood) v Bassetlaw DC,2008
16,Bard Campaign v Secretary of State for Communities and Local Government,2009
17,R (on the application of People & Planet) v HM Treasury,2009
18,Barbone and Ross (on behalf of Stop Stansted Expansion) v Secretary of State for Transport,2009
14,R (on the application of the London Borough of Hillingdon and others) v Secretary of State for Transport,2010
19,R (on the application of Tate & Lyle Industries Ltd) v Secretary of State for Energy and Climate Change,2010
20,Grainger Plc and Others v Nicholson,2010
21,R (on the application of Griffin) v Newham London Borough Council,2011
22,Keiller v Information Commissioner,2011
23,Hertfordshire County Council v Secretary of State for Communities and Local Government,2011
29,Secretary of State for Energy and Climate Change v Friends of the Earth,2011
24,Jarrett v Secretary of State for Communities and Local Government,2012
25,Chelveston Renewable Energy Ltd v Bedford BC,2012
26,E.ON UK Development Ltd v King's Lynn and West Norfolk Council,2012
27,Armstrong DLW GmbH v Winnington Networks Ltd,2012
28,Deutsche Bank AG v Total Global Steel Ltd,2012
30,Secretary of State for Energy and Climate Change v Friends of the Earth,2012
31,"Castletown Estates Ltd, Carmarthenshire County Council v Welsh Ministers",2013
32,R v Dosanjh,2013
33,R (on application of Corbett) v Cornwall Council,2013
34,Macarthur v Secretary of State for Communities and Local Government,2013
35,In the Matter of An Application by Brian Quinn and Michael Quinn,2013
96,Newark & Sherwood District Council v The Secretary of State for Communities and Local Government,2013
36,Lark Energy Ltd v Secretary for State for Communities,2014
37,Bellis v Merthyr Tydfill CBC,2014
38,CF Partners (UK) LLP v Barclays Bank PLC,2014
39,R (on the application of Swiss International Airlines AG) v Secretary of State for Climate Change and Energy,2014
43,Trump International Golf Club Scotland Limited and The Trump Organization LLC v Scottish Ministers,2014
40,R (on the application of Swiss International Airlines AG) v Secretary of State for Climate Change and Energy,2015
41,North Cote Farms Ltd v Secretary of State for Communities and Local Government,2015
42,Trump International Golf Club Scotland Limited and The Trump Organization LLC v Scottish Ministers,2015
44,Trump International Golf Club Scotland Limited and The Trump Organization LLC v Scottish Ministers,2015
45,KS SPV35 Ltd v Monmouthshire County Council,2015
46,Pugh v Secretary of State for Communities and Local Government,2015
47,R v Basto,2016
48,"Preston New Road Action Group v Secretary of State for Communities and Local Government, Lancashire County Council, Cuadrilla Bowland Ltd, Cuadrilla Elswick Ltd",2017
49,"Plan B Earth and Others v The Secretary of State for Business, Energy, and Industrial Strategy",2018
50,"H.J. Banks & Co. v Secretary of State for Housing, Communities, and Local Government",2018
55,R v Roberts,2018
51,Planet B and Others v Secretary of State for Transport,2019
54,Claire Stephenson v Secretary of State for Housing and Communities and Local Government,2019
56,"Repsol Sinopec Resources UK Ltd v Secretary of State for Business, Energy and Industrial Strategy",2019
57,R (on the application of McLennan) v Medway Council,2019
52,Planet B and Others v Secretary of State for Transport,2020
53,Planet B and Others v Secretary of State for Transport,2020
65,Packham v Secretary of State for Transport,2020
66,Packham v Secretary of State for Transport,2020
67,ClientEarth v Secretary of State,2020
97,R (Finch on behalf of the Weald Action Group &amp; Others) v Surrey County Council (&amp; Others),2020
58,Greenpeace v United Kingdom,2021
61,Transport Action Network v Secretary of State for Transport and Highway England Company (on Roads Investment Strategy),2021
62,Transport Action Network v Secretary of State for Transport and Highway England Company (on Roads Investment Strategy),2021
